cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
235,COMM_HEAVY,1,2485,0,0.0000,MEDIUM,4,0
236,COMM_HEAVY,1,2725,0,0.0000,MEDIUM,5,0
237,COMM_HEAVY,1,3997,0,0.0000,MEDIUM,6,0
238,COMM_HEAVY,1,3096,0,0.0000,MEDIUM,0,0
239,COMM_HEAVY,1,2379,0,0.0000,MEDIUM,1,0
240,COMM_HEAVY,1,2171,0,0.0000,MEDIUM,2,0
241,COMM_HEAVY,1,3146,0,0.0000,MEDIUM,3,0
242,COMM_HEAVY,1,2601,0,0.0000,MEDIUM,4,0
243,COMM_HEAVY,1,3591,0,0.0000,MEDIUM,5,0
244,COMM_HEAVY,1,3091,0,0.0000,MEDIUM,6,0
245,COMM_HEAVY,1,3542,0,0.0000,MEDIUM,0,0
246,COMM_HEAVY,1,2811,0,0.0000,MEDIUM,1,0
247,COMM_HEAVY,1,2229,0,0.0000,MEDIUM,2,0
248,COMM_HEAVY,1,2809,0,0.0000,MEDIUM,3,0
249,COMM_HEAVY,1,3629,0,0.0000,MEDIUM,4,0
250,COMM_HEAVY,1,3874,0,0.0000,MEDIUM,5,0
251,COMM_HEAVY,1,3148,0,0.0000,MEDIUM,6,0
252,COMM_HEAVY,1,3990,0,0.0000,MEDIUM,0,0
253,COMM_HEAVY,1,3728,0,0.0000,MEDIUM,1,0
254,COMM_HEAVY,1,2401,0,0.0000,HIGH,2,0
255,COMM_HEAVY,1,3318,0,0.0000,HIGH,3,0
256,COMM_HEAVY,1,2297,0,0.0000,HIGH,4,0
257,COMM_HEAVY,1,2959,0,0.0000,HIGH,5,0
258,COMM_HEAVY,1,3210,0,0.0000,HIGH,6,0
259,COMM_HEAVY,4,9921,292,0.6638,HIGH,0,0
260,COMM_HEAVY,1,3123,0,0.0000,MEDIUM,1,0
261,COMM_HEAVY,1,3963,0,0.0000,MEDIUM,2,0
262,COMM_HEAVY,1,2190,0,0.0000,MEDIUM,3,0
263,COMM_HEAVY,1,3013,0,0.0000,MEDIUM,4,0
264,COMM_HEAVY,1,3713,0,0.0000,MEDIUM,5,0
265,COMM_HEAVY,1,2963,0,0.0000,MEDIUM,6,0
266,COMM_HEAVY,1,2730,0,0.0000,MEDIUM,0,0
267,COMM_HEAVY,1,3667,0,0.0000,MEDIUM,1,0
268,COMM_HEAVY,1,2446,0,0.0000,MEDIUM,2,0
269,COMM_HEAVY,1,3068,0,0.0000,MEDIUM,3,0
270,COMM_HEAVY,1,3728,0,0.0000,MEDIUM,4,0
271,COMM_HEAVY,1,3138,0,0.0000,MEDIUM,5,0
272,COMM_HEAVY,1,3926,0,0.0000,MEDIUM,6,0
273,COMM_HEAVY,1,3329,0,0.0000,MEDIUM,0,0
274,COMM_HEAVY,1,3996,0,0.0000,MEDIUM,1,0
275,COMM_HEAVY,1,2797,0,0.0000,MEDIUM,2,0
276,COMM_HEAVY,1,3761,0,0.0000,MEDIUM,3,0
277,COMM_HEAVY,1,3149,0,0.0000,MEDIUM,4,0
278,COMM_HEAVY,1,3394,0,0.0000,MEDIUM,5,0
279,COMM_HEAVY,1,2007,0,0.0000,MEDIUM,6,0
280,COMM_HEAVY,1,3126,0,0.0000,MEDIUM,0,0
281,COMM_HEAVY,1,3837,0,0.0000,MEDIUM,1,0
282,COMM_HEAVY,1,3412,0,0.0000,MEDIUM,2,0
283,COMM_HEAVY,1,3031,0,0.0000,MEDIUM,3,0
284,COMM_HEAVY,1,2546,0,0.0000,MEDIUM,4,0
285,COMM_HEAVY,1,2604,0,0.0000,MEDIUM,5,0
286,COMM_HEAVY,1,3846,0,0.0000,MEDIUM,6,0
287,COMM_HEAVY,1,2847,0,0.0000,MEDIUM,0,0
288,COMM_HEAVY,1,3736,0,0.0000,MEDIUM,1,0
289,COMM_HEAVY,1,3535,0,0.0000,MEDIUM,2,0
290,COMM_HEAVY,1,2355,0,0.0000,MEDIUM,3,0
291,COMM_HEAVY,1,3898,0,0.0000,MEDIUM,4,0
292,COMM_HEAVY,1,2746,0,0.0000,MEDIUM,5,0
