cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
220,COMM_HEAVY,4,18675,1152,0.6763,MEDIUM,3,0
221,COMM_HEAVY,4,25342,969,0.6269,MEDIUM,4,0
222,COMM_HEAVY,4,20830,1332,0.7460,MEDIUM,5,0
223,COMM_HEAVY,4,22729,1283,0.7843,MEDIUM,6,0
224,COMM_HEAVY,4,29746,1117,0.7491,MEDIUM,0,0
225,COMM_HEAVY,4,28084,1240,0.7599,MEDIUM,1,0
226,COMM_HEAVY,4,24697,1319,0.7757,MEDIUM,2,0
227,COMM_HEAVY,2,8915,452,0.7517,MEDIUM,3,0
228,COMM_HEAVY,4,29429,1259,0.8200,MEDIUM,4,0
229,COMM_HEAVY,4,25728,1176,0.7266,MEDIUM,5,0
230,COMM_HEAVY,4,19168,1124,0.6685,MEDIUM,6,0
231,COMM_HEAVY,4,19261,1398,0.7603,MEDIUM,0,0
232,COMM_HEAVY,4,28034,946,0.6663,MEDIUM,1,0
233,COMM_HEAVY,4,12498,1416,0.7252,MEDIUM,2,0
234,COMM_HEAVY,4,25684,1301,0.7791,MEDIUM,3,0
235,COMM_HEAVY,4,15610,1320,0.7375,MEDIUM,4,0
236,COMM_HEAVY,4,29144,1258,0.8119,MEDIUM,5,0
237,COMM_HEAVY,4,24834,1235,0.7790,MEDIUM,6,0
238,COMM_HEAVY,4,24297,1334,0.8050,MEDIUM,0,0
239,COMM_HEAVY,2,5781,451,0.7033,MEDIUM,1,0
240,COMM_HEAVY,4,17141,1286,0.7518,MEDIUM,2,0
241,COMM_HEAVY,2,9136,364,0.6347,MEDIUM,3,0
242,COMM_HEAVY,4,24097,1067,0.6900,MEDIUM,4,0
243,COMM_HEAVY,4,17462,1125,0.6654,MEDIUM,5,0
244,COMM_HEAVY,4,27040,1186,0.7414,MEDIUM,6,0
245,COMM_HEAVY,4,27355,1344,0.8342,MEDIUM,0,0
246,COMM_HEAVY,4,13726,1273,0.6738,MEDIUM,1,0
247,COMM_HEAVY,2,17478,324,0.7052,MEDIUM,2,0
248,COMM_HEAVY,4,21730,1179,0.7090,MEDIUM,3,0
249,COMM_HEAVY,4,24942,1257,0.7582,MEDIUM,4,0
250,COMM_HEAVY,4,18055,1334,0.7250,MEDIUM,5,0
251,COMM_HEAVY,4,23144,1345,0.7665,MEDIUM,6,0
252,COMM_HEAVY,4,16539,1172,0.6430,MEDIUM,0,0
253,COMM_HEAVY,4,25823,1150,0.6886,MEDIUM,1,0
254,COMM_HEAVY,4,29830,1352,0.8203,MEDIUM,2,0
255,COMM_HEAVY,4,24338,1180,0.6983,MEDIUM,3,0
256,COMM_HEAVY,4,23097,1229,0.7365,MEDIUM,4,0
257,COMM_HEAVY,4,23121,1264,0.7742,MEDIUM,5,0
258,COMM_HEAVY,4,28177,1186,0.7613,MEDIUM,6,0
259,COMM_HEAVY,4,21790,1347,0.8170,MEDIUM,0,0
260,COMM_HEAVY,4,16887,1489,0.7890,MEDIUM,1,0
261,COMM_HEAVY,4,26928,1216,0.7714,MEDIUM,2,0
262,COMM_HEAVY,4,28858,1182,0.7581,MEDIUM,3,0
263,COMM_HEAVY,4,24723,1184,0.7094,MEDIUM,4,0
264,COMM_HEAVY,4,23243,1355,0.8154,MEDIUM,5,0
265,COMM_HEAVY,4,23310,1111,0.6257,MEDIUM,6,0
266,COMM_HEAVY,4,27364,1053,0.6277,MEDIUM,0,0
267,COMM_HEAVY,1,2089,0,0.0000,MEDIUM,1,0
268,COMM_HEAVY,4,22527,1169,0.6871,MEDIUM,2,0
269,COMM_HEAVY,4,26353,1100,0.6807,MEDIUM,3,0
270,COMM_HEAVY,4,20988,1391,0.8245,MEDIUM,4,0
271,COMM_HEAVY,4,22001,1389,0.7873,MEDIUM,5,0
272,COMM_HEAVY,4,23606,1337,0.8270,MEDIUM,6,0
273,COMM_HEAVY,4,18952,1310,0.7394,MEDIUM,0,0
274,COMM_HEAVY,4,19419,1269,0.7263,MEDIUM,1,0
275,COMM_HEAVY,4,18196,1188,0.6607,MEDIUM,2,0
276,COMM_HEAVY,4,29772,1314,0.8013,MEDIUM,3,0
277,COMM_HEAVY,4,10574,1295,0.6887,MEDIUM,4,0
278,COMM_HEAVY,4,27265,1177,0.6687,MEDIUM,5,0
279,COMM_HEAVY,4,19604,1228,0.6903,MEDIUM,6,0
280,COMM_HEAVY,4,26454,1193,0.7650,MEDIUM,0,0
281,COMM_HEAVY,4,31601,1413,0.8878,MEDIUM,1,0
282,COMM_HEAVY,4,25474,1145,0.6972,MEDIUM,2,0
283,COMM_HEAVY,4,26458,1184,0.7232,MEDIUM,3,0
284,COMM_HEAVY,4,28634,1261,0.8078,MEDIUM,4,0
285,COMM_HEAVY,4,24193,1120,0.7069,MEDIUM,5,0
286,COMM_HEAVY,4,26889,1438,0.8673,MEDIUM,6,0
287,COMM_HEAVY,1,1482,0,0.0000,MEDIUM,0,0
288,COMM_HEAVY,4,25870,1054,0.6792,MEDIUM,1,0
289,COMM_HEAVY,4,24534,1035,0.6616,MEDIUM,2,0
290,COMM_HEAVY,4,18076,1082,0.6250,MEDIUM,3,0
291,COMM_HEAVY,4,18381,1248,0.7435,MEDIUM,4,0
292,COMM_HEAVY,4,28836,1300,0.8012,MEDIUM,5,0
293,COMM_HEAVY,4,24540,1187,0.6849,MEDIUM,6,0
294,COMM_HEAVY,4,26512,1180,0.7459,MEDIUM,0,0
295,COMM_HEAVY,4,23754,1218,0.7299,MEDIUM,1,0
296,COMM_HEAVY,4,20382,1366,0.6704,MEDIUM,2,0
297,COMM_HEAVY,4,28224,1109,0.6855,MEDIUM,3,0
298,COMM_HEAVY,4,18243,1216,0.6874,MEDIUM,4,0
299,COMM_HEAVY,4,15390,1189,0.6348,MEDIUM,5,0
300,COMM_HEAVY,4,33084,1455,0.9078,MEDIUM,6,0
301,COMM_HEAVY,4,19675,1248,0.7155,MEDIUM,0,0
302,COMM_HEAVY,4,21682,1318,0.7778,MEDIUM,1,0
303,COMM_HEAVY,4,20628,1323,0.8042,MEDIUM,2,0
304,COMM_HEAVY,4,26775,1352,0.8132,MEDIUM,3,0
305,COMM_HEAVY,1,5577,0,0.0000,MEDIUM,4,0
306,COMM_HEAVY,4,16299,1211,0.7029,MEDIUM,5,0
307,COMM_HEAVY,4,23081,1294,0.7527,MEDIUM,6,0
308,COMM_HEAVY,4,26924,1066,0.6736,MEDIUM,0,0
309,COMM_HEAVY,2,11298,337,0.6302,MEDIUM,1,0
310,COMM_HEAVY,4,25158,1156,0.7511,MEDIUM,2,0
311,COMM_HEAVY,4,25163,1223,0.7613,MEDIUM,3,0
312,COMM_HEAVY,4,23556,1290,0.7648,MEDIUM,4,0
313,COMM_HEAVY,4,30765,992,0.6821,MEDIUM,5,0
314,COMM_HEAVY,4,16838,1358,0.7538,MEDIUM,6,0
315,COMM_HEAVY,4,19072,1430,0.8349,MEDIUM,0,0
316,COMM_HEAVY,1,6687,0,0.0000,MEDIUM,1,0
317,COMM_HEAVY,2,3924,424,0.6386,MEDIUM,2,0
318,COMM_HEAVY,4,20846,1322,0.7583,MEDIUM,3,0
319,COMM_HEAVY,4,14243,1349,0.7417,MEDIUM,4,0
320,COMM_HEAVY,2,8099,439,0.7217,MEDIUM,5,0
321,COMM_HEAVY,4,29347,1186,0.7680,MEDIUM,6,0
322,COMM_HEAVY,4,17264,1365,0.7506,MEDIUM,0,0
323,COMM_HEAVY,4,24358,1145,0.7233,MEDIUM,1,0
324,COMM_HEAVY,4,24826,1252,0.7304,MEDIUM,2,0
325,COMM_HEAVY,4,27187,1212,0.7473,MEDIUM,3,0
326,COMM_HEAVY,4,20170,1225,0.6654,MEDIUM,4,0
327,COMM_HEAVY,4,18430,1339,0.7298,MEDIUM,5,0
328,COMM_HEAVY,4,22175,1318,0.7532,MEDIUM,6,0
329,COMM_HEAVY,4,25808,1133,0.6774,MEDIUM,0,0
330,COMM_HEAVY,4,29614,1030,0.6919,MEDIUM,1,0
331,COMM_HEAVY,4,22967,1336,0.7496,MEDIUM,2,0
332,COMM_HEAVY,4,32109,1034,0.7108,MEDIUM,3,0
333,COMM_HEAVY,4,19282,1272,0.7003,MEDIUM,4,0
334,COMM_HEAVY,4,28286,1167,0.7303,MEDIUM,5,0
335,COMM_HEAVY,4,28964,1152,0.7302,MEDIUM,6,0
336,COMM_HEAVY,4,17321,1156,0.6826,MEDIUM,0,0
337,COMM_HEAVY,4,18307,1411,0.7773,MEDIUM,1,0
338,COMM_HEAVY,4,17749,1366,0.7687,MEDIUM,2,0
339,COMM_HEAVY,4,21430,1040,0.6353,MEDIUM,3,0
340,COMM_HEAVY,4,28298,1144,0.7339,MEDIUM,4,0
341,COMM_HEAVY,4,21506,1064,0.6706,MEDIUM,5,0
342,COMM_HEAVY,4,26660,1180,0.7440,MEDIUM,6,0
